,DATES,Last Price,Open Price,Low Price,High Price,Volume
310,2022-03-28,175.6,172.17,172.0,175.73,90371916
311,2022-03-29,178.96,176.69,176.34,179.01,100589440
312,2022-03-30,177.77,178.55,176.7,179.61,92633154
313,2022-03-31,174.61,177.84,174.4,178.03,103049285
314,2022-04-01,174.31,174.03,171.94,174.88,78751328
315,2022-04-04,178.44,174.57,174.44,178.49,76545983
316,2022-04-05,175.06,177.5,174.415,178.3,73401786
317,2022-04-06,171.83,172.36,170.13,173.63,89058782
318,2022-04-07,172.14,171.16,169.85,173.36,77594650
319,2022-04-08,170.09,171.78,169.2,171.78,76575508
320,2022-04-11,165.75,168.71,165.5,169.03,72246706
321,2022-04-12,167.66,168.02,166.64,169.87,79265181
322,2022-04-13,170.4,167.39,166.77,171.04,70618925
323,2022-04-14,165.29,170.62,165.04,171.27,75329376
324,2022-04-18,165.07,163.92,163.57,166.598,69023941
325,2022-04-19,167.4,165.02,163.91,167.82,67723833
326,2022-04-20,167.23,168.76,166.1,168.88,67929814
327,2022-04-21,166.42,168.91,165.91,171.53,87227768
328,2022-04-22,161.79,166.46,161.5,167.87,84882424
329,2022-04-25,162.88,161.12,158.46,163.17,96046376
330,2022-04-26,156.8,162.25,156.72,162.34,95623240
331,2022-04-27,156.57,155.91,155.38,159.79,88063191
332,2022-04-28,163.64,159.25,158.93,164.515,130216792
333,2022-04-29,157.65,161.84,157.25,166.2,131747571
334,2022-05-02,157.96,156.71,153.27,158.23,123055265
335,2022-05-03,159.48,158.15,156.32,160.71,88966526
336,2022-05-04,166.02,159.67,159.26,166.48,108256503
337,2022-05-05,156.77,163.85,154.95,164.08,130525275
338,2022-05-06,157.28,156.01,154.18,159.44,116124647
339,2022-05-09,152.06,154.925,151.49,155.83,131577921
340,2022-05-10,154.51,155.52,152.93,156.74,115366736
341,2022-05-11,146.5,153.5,145.81,155.45,142689825
342,2022-05-12,142.56,142.77,138.8,146.2,182602041
343,2022-05-13,147.11,144.59,143.11,148.105,113990852
344,2022-05-16,145.54,145.55,144.18,147.52,86643781
345,2022-05-17,149.24,148.86,146.68,149.77,78336254
346,2022-05-18,140.82,146.85,139.9,147.36,109742890
347,2022-05-19,137.35,139.88,136.6,141.66,136095640
348,2022-05-20,137.59,139.09,132.61,140.7,137426125
349,2022-05-23,143.11,137.79,137.65,143.26,117726265
350,2022-05-24,140.36,140.805,137.33,141.97,104132746
351,2022-05-25,140.52,138.43,138.34,141.785,92482696
352,2022-05-26,143.78,137.39,137.14,144.34,90601548
353,2022-05-27,149.64,145.39,145.26,149.68,90978503
354,2022-05-31,148.84,149.07,146.84,150.66,103718416
355,2022-06-01,148.71,149.9,147.68,151.74,74286635
356,2022-06-02,151.21,147.83,146.86,151.27,72348055
357,2022-06-03,145.38,146.9,144.46,147.97,88570289
358,2022-06-06,146.14,147.03,144.9,148.569,71598380
359,2022-06-07,148.71,144.345,144.1,149.0,67808150
360,2022-06-08,147.96,148.58,147.46,149.87,53950201
361,2022-06-09,142.64,147.08,142.53,147.95,69472976
362,2022-06-10,137.13,140.28,137.06,140.76,91566637
363,2022-06-13,131.88,132.87,131.44,135.2,122207099
364,2022-06-14,132.76,133.13,131.48,133.89,84784326
365,2022-06-15,135.43,134.29,132.16,137.34,91532972
366,2022-06-16,130.06,132.08,129.04,132.39,107961508
367,2022-06-17,131.56,130.065,129.81,133.079,134520290
368,2022-06-21,135.87,133.42,133.32,137.06,81000488
369,2022-06-22,135.35,134.79,133.91,137.76,73409234
370,2022-06-23,138.27,136.82,135.63,138.59,72433768
371,2022-06-24,141.66,139.9,139.77,141.91,89116837
372,2022-06-27,141.66,142.695,140.965,143.49,70207908
373,2022-06-28,137.44,142.13,137.325,143.422,67315328
374,2022-06-29,139.23,137.46,136.67,140.67,66242411
375,2022-06-30,136.72,137.25,133.774,138.37,98964467
376,2022-07-01,138.93,136.04,135.66,139.04,71051552
377,2022-07-05,141.56,137.77,136.93,141.61,73429641
378,2022-07-06,142.92,141.355,141.08,144.12,74064254
379,2022-07-07,146.35,143.29,143.28,146.55,66253709
380,2022-07-08,147.04,145.265,145.0,147.55,64547798
381,2022-07-11,144.87,145.67,143.78,146.64,63305113
382,2022-07-12,145.86,145.76,145.05,148.45,77588759
383,2022-07-13,145.49,142.99,142.12,146.45,71185560
384,2022-07-14,148.47,144.08,143.25,148.95,78140744
385,2022-07-15,150.17,149.78,148.2,150.86,76259931
386,2022-07-18,147.07,150.74,146.7,151.57,81420868
387,2022-07-19,151.0,147.92,146.91,151.23,82982367
388,2022-07-20,153.04,151.12,150.37,153.72,64823413
389,2022-07-21,155.35,154.5,151.94,155.57,65086636
390,2022-07-22,154.09,155.39,153.41,156.28,66675408
391,2022-07-25,152.95,154.01,152.28,155.04,53623945
392,2022-07-26,151.6,152.265,150.8,153.085,55138691
393,2022-07-27,156.79,152.58,152.16,157.33,78620688
394,2022-07-28,157.35,156.98,154.41,157.64,81378731
395,2022-07-29,162.51,161.24,159.5,163.63,101786860
396,2022-08-01,161.51,161.01,160.89,163.59,67829379
397,2022-08-02,160.01,160.1,159.63,162.41,59907025
398,2022-08-03,166.13,160.84,160.75,166.59,82507488
399,2022-08-04,165.81,166.005,164.43,167.19,55474144
400,2022-08-05,165.35,163.21,163.0,165.85,56696985
401,2022-08-08,164.87,166.37,164.2,167.81,60362338
402,2022-08-09,164.92,164.02,163.25,165.82,63135503
403,2022-08-10,169.24,167.68,166.9,169.34,70170540
404,2022-08-11,168.49,170.06,168.19,170.99,57149159
405,2022-08-12,172.1,169.82,169.4,172.17,68039382
406,2022-08-15,173.19,171.52,171.345,173.39,54091694
407,2022-08-16,173.03,172.78,171.662,173.71,56377050
408,2022-08-17,174.55,172.77,172.57,176.15,79542037
409,2022-08-18,174.15,173.75,173.12,174.9,62290075
410,2022-08-19,171.52,173.03,171.31,173.74,70346295
411,2022-08-22,167.57,169.69,167.135,169.86,69026809
412,2022-08-23,167.23,167.08,166.65,168.71,54147079
413,2022-08-24,167.53,167.32,166.245,168.11,53841524
414,2022-08-25,170.03,168.78,168.35,170.14,51218209
415,2022-08-26,163.62,170.57,163.56,171.05,78960980
416,2022-08-29,161.38,161.145,159.82,162.9,73313953
417,2022-08-30,158.91,162.13,157.72,162.56,77906197
418,2022-08-31,157.22,160.305,157.14,160.58,87991091
419,2022-09-01,157.96,156.64,154.67,158.42,74229896
420,2022-09-02,155.81,159.75,154.965,160.362,76957768
421,2022-09-06,154.53,156.47,153.69,157.09,73714843
422,2022-09-07,155.96,154.825,153.61,156.67,87449574
423,2022-09-08,154.46,154.64,152.68,156.36,84923847
424,2022-09-09,157.37,155.47,154.75,157.82,68081006
425,2022-09-12,163.43,159.59,159.3,164.26,104955962
426,2022-09-13,153.84,159.9,153.37,160.54,122656614
427,2022-09-14,155.31,154.785,153.611,157.1,87965409
428,2022-09-15,152.37,154.65,151.38,155.24,90481110
429,2022-09-16,150.7,151.21,148.37,151.35,162278841
430,2022-09-19,154.48,149.31,149.1,154.56,81474246
431,2022-09-20,156.9,153.4,153.08,158.08,107689796
432,2022-09-21,153.72,157.34,153.6,158.74,101696790
433,2022-09-22,152.74,152.38,150.91,154.47,86652542
434,2022-09-23,150.43,151.19,148.56,151.47,96029909
435,2022-09-26,150.77,149.66,149.64,153.77,93339409
436,2022-09-27,151.76,152.74,149.945,154.72,84442741
437,2022-09-28,149.84,147.64,144.84,150.641,146691387
438,2022-09-29,142.48,146.1,140.68,146.72,128138237
439,2022-09-30,138.2,141.28,138.0,143.1,124925274
440,2022-10-03,142.45,138.21,137.685,143.07,114311663
441,2022-10-04,146.1,145.03,144.26,146.22,87830064
442,2022-10-05,146.4,144.075,143.01,147.38,79470968
443,2022-10-06,145.43,145.81,145.22,147.54,68402169
444,2022-10-07,140.09,142.54,139.445,143.1,85925559
445,2022-10-10,140.42,140.42,138.573,141.89,74899002
446,2022-10-11,138.98,139.9,138.22,141.35,77033672
447,2022-10-12,138.34,139.13,138.16,140.36,70433744
448,2022-10-13,142.99,134.99,134.37,143.59,113223975
449,2022-10-14,138.38,144.31,138.19,144.52,88597969
450,2022-10-17,142.41,141.065,140.27,142.9,85250939
451,2022-10-18,143.75,145.49,140.61,146.7,99136610
452,2022-10-19,143.86,141.69,141.5,144.949,61758340
453,2022-10-20,143.39,143.02,142.65,145.89,64521989
454,2022-10-21,147.27,142.87,142.649,147.848,86548609
455,2022-10-24,149.45,147.185,146.0,150.23,75981918
456,2022-10-25,152.34,150.09,149.36,152.49,74732290
457,2022-10-26,149.35,150.96,148.04,151.99,88436172
458,2022-10-27,144.8,148.07,144.13,149.046,109180150
459,2022-10-28,155.74,148.2,147.82,157.5,164762371
460,2022-10-31,153.34,153.155,151.92,154.24,97943171
461,2022-11-01,150.65,155.08,149.13,155.45,80379345
462,2022-11-02,145.03,148.945,145.0,152.17,93604623
463,2022-11-03,138.88,142.06,138.75,142.8,97918516
464,2022-11-04,138.38,142.09,134.38,142.67,140814796
465,2022-11-07,138.92,137.11,135.671,139.145,83374628
466,2022-11-08,139.5,140.41,137.49,141.43,89908477
467,2022-11-09,134.87,138.5,134.593,138.55,74917794
468,2022-11-10,146.87,141.24,139.5,146.87,118854028
469,2022-11-11,149.7,145.82,144.37,150.01,93979665
470,2022-11-14,148.28,148.97,147.43,150.28,73374114
471,2022-11-15,150.04,152.215,148.561,153.59,89868332
472,2022-11-16,148.79,149.13,147.29,149.87,64218266
473,2022-11-17,150.72,146.43,146.15,151.48,80389400
474,2022-11-18,151.29,152.305,149.97,152.7,74829573
