Dates,Last Price,Volume,Ticker
2023-09-29,315.75,24147298.0,MSFT US EQUITY
2023-09-29,31857.62,1320335900.0,NKY INDEX 
2023-09-29,3.5795,48785.0,NOKIA FP EQUITY
2023-09-29,58.46,10550327.0,PYPL US EQUITY
2023-09-29,822.96,409771.0,REGN US EQUITY
2023-09-29,101.48,1925140.0,SAN FP EQUITY
2023-09-29,252.8,7165686.0,SBRY LN EQUITY
2023-09-29,407.2,1618805.0,SDR LN EQUITY
2023-09-29,719.4,3208138.0,SGRO LN EQUITY
2023-09-29,4288.05,735724635.0,SPX INDEX
2023-09-29,758.0,6831318.0,STAN LN EQUITY
2023-09-29,4174.66,296362898.0,SX5E INDEX
2023-09-29,250.22,128522729.0,TLSA US EQUITY
2023-09-29,264.2,18551647.0,TSCO LN EQUITY
2023-09-29,62.31,5302832.0,TTE FP EQUITY
2023-09-29,2.56,4316974.0,UKAB10BC INDEX
2023-09-29,4000.0,4316974.0,UKAB3YAC INDEX
2023-09-29,7608.08,605872351.0,UKX INDEX
2023-09-29,4062.0,3708354.0,ULVR LN EQUITY
2023-09-29,897.5,1035075.0,UTG LN EQUITY
2023-09-29,230.01,6045177.0,V US EQUITY
2023-09-29,76.82,61172937.0,VOD LN EQUITY
2023-09-29,202.53,363709.0,VRSN US EQUITY
2023-09-29,212.41,4441367.0,VTI US EQUITY
2023-10-02,173.75,52164535.0,AAPL US EQUITY
2023-10-02,51.05,1333827.0,ABI BB EQUITY
2023-10-02,521.13,2411478.0,ADBE US EQUITY
2023-10-02,222.5,948241.0,ALV GR EQUITY
2023-10-02,129.46,48029744.0,AMZN US EQUITY
2023-10-02,612.4,1568106.0,AUTO LN EQUITY
2023-10-02,149.48,2657671.0,AXP US EQUITY
2023-10-02,187.83,5244743.0,BA US EQUITY
2023-10-02,2531.0,2137444.0,BATS LN EQUITY
2023-10-02,69.11,6719838.0,BND US EQUITY
2023-10-02,47.57,2315493.0,BNDX US EQUITY
2023-10-02,59.69,2061569.0,BNP FP EQUITY
2023-10-02,54.39,13934004.0,CSCO US EQUITY
2023-10-02,19.926,4728401.0,DTE GY EQUITY
2023-10-02,2670.0,862670.0,EXPN LN EQUITY
2023-10-02,432.3,2933669.0,EZJ LN EQUITY
2023-10-02,3.233,4316974.0,GDBR2 INDEX
2023-10-02,74.1,4578676.0,GILD US EQUITY
2023-10-02,134.17,22288038.0,GOOGL
2023-10-02,318.5,1303821.0,GS US EQUITY
2023-10-02,757.2,1981250.0,HL-LN EQUITY
2023-10-02,17809.66,1839910280.0,HSI INDEX
2023-10-02,140.8,3275461.0,IBM US EQUITY
2023-10-02,517.8,1621597.0,INTU US EQUITY
2023-10-02,4085.0,236162.0,ITRK LN EQUITY
2023-10-02,143.77,9170644.0,JPM US EQUITY
2023-10-02,583.2,1290590.0,LAND LN EQUITY
2023-10-02,43.27,80846663.0,LLOY LN EQUITY
2023-10-02,8180.0,514402.0,LSEG LN EQUITY
2023-10-02,68.49,4929149.0,MDLZ US EQUITY
2023-10-02,233.3,4779896.0,MKS LN EQUITY
2023-10-02,103.31,2413350.0,MRNA US EQUITY
2023-10-02,321.8,20570006.0,MSFT US EQUITY
2023-10-02,31759.88,1048864500.0,NKY INDEX 
2023-10-02,3.489,35037.0,NOKIA FP EQUITY
2023-10-02,58.56,12961469.0,PYPL US EQUITY
2023-10-02,818.03,487684.0,REGN US EQUITY
2023-10-02,101.82,1858299.0,SAN FP EQUITY
2023-10-02,247.8,4409165.0,SBRY LN EQUITY
2023-10-02,399.5,979760.0,SDR LN EQUITY
2023-10-02,708.0,1706211.0,SGRO LN EQUITY
2023-10-02,4288.39,674495263.0,SPX INDEX
2023-10-02,753.8,3399823.0,STAN LN EQUITY
2023-10-02,4137.63,320897613.0,SX5E INDEX
2023-10-02,251.6,123810402.0,TLSA US EQUITY
2023-10-02,261.8,13860218.0,TSCO LN EQUITY
2023-10-02,61.55,3757875.0,TTE FP EQUITY
2023-10-02,2.56,4316974.0,UKAB10BC INDEX
2023-10-02,4000.0,4316974.0,UKAB3YAC INDEX
2023-10-02,7510.72,477578643.0,UKX INDEX
2023-10-02,4024.5,2807859.0,ULVR LN EQUITY
2023-10-02,889.5,609190.0,UTG LN EQUITY
2023-10-02,231.27,5175345.0,V US EQUITY
2023-10-02,76.82,44354077.0,VOD LN EQUITY
2023-10-02,202.34,354564.0,VRSN US EQUITY
2023-10-02,212.13,4358137.0,VTI US EQUITY
2023-10-03,172.4,49594613.0,AAPL US EQUITY
2023-10-03,50.59,1217613.0,ABI BB EQUITY
2023-10-03,507.03,2004074.0,ADBE US EQUITY
2023-10-03,220.1,730453.0,ALV GR EQUITY
2023-10-03,124.72,51564991.0,AMZN US EQUITY
2023-10-03,613.8,1385337.0,AUTO LN EQUITY
2023-10-03,145.05,4184132.0,AXP US EQUITY
2023-10-03,188.92,7285526.0,BA US EQUITY
2023-10-03,2507.0,2065833.0,BATS LN EQUITY
2023-10-03,68.55,8099516.0,BND US EQUITY
2023-10-03,47.41,2108078.0,BNDX US EQUITY
2023-10-03,58.8,2670595.0,BNP FP EQUITY
2023-10-03,53.65,15700578.0,CSCO US EQUITY
2023-10-03,19.68,4761296.0,DTE GY EQUITY
2023-10-03,2679.0,807699.0,EXPN LN EQUITY
2023-10-03,421.1,3069943.0,EZJ LN EQUITY
2023-10-03,3.21,4316974.0,GDBR2 INDEX
2023-10-03,73.27,6075317.0,GILD US EQUITY
2023-10-03,132.43,22989401.0,GOOGL
2023-10-03,306.12,3118598.0,GS US EQUITY
2023-10-03,752.0,997134.0,HL-LN EQUITY
2023-10-03,17331.22,2102883980.0,HSI INDEX
2023-10-03,140.39,3284421.0,IBM US EQUITY
2023-10-03,507.48,1741641.0,INTU US EQUITY
2023-10-03,4125.0,220092.0,ITRK LN EQUITY
2023-10-03,142.71,9431118.0,JPM US EQUITY
2023-10-03,574.6,1264123.0,LAND LN EQUITY
2023-10-03,42.815,66636442.0,LLOY LN EQUITY
2023-10-03,8138.0,405628.0,LSEG LN EQUITY
2023-10-03,67.6,7959652.0,MDLZ US EQUITY
2023-10-03,228.4,5774904.0,MKS LN EQUITY
2023-10-03,103.08,2417766.0,MRNA US EQUITY
2023-10-03,313.39,21033492.0,MSFT US EQUITY
2023-10-03,31237.94,1096031800.0,NKY INDEX 
2023-10-03,3.519,83381.0,NOKIA FP EQUITY
2023-10-03,57.3,12013961.0,PYPL US EQUITY
2023-10-03,808.31,426701.0,REGN US EQUITY
2023-10-03,101.56,1385370.0,SAN FP EQUITY
2023-10-03,248.4,5481542.0,SBRY LN EQUITY
2023-10-03,395.9,1074551.0,SDR LN EQUITY
2023-10-03,700.4,2493119.0,SGRO LN EQUITY
2023-10-03,4229.45,642211079.0,SPX INDEX
2023-10-03,749.8,4082294.0,STAN LN EQUITY
2023-10-03,4095.59,367892076.0,SX5E INDEX
2023-10-03,246.53,101985305.0,TLSA US EQUITY
2023-10-03,259.6,16233727.0,TSCO LN EQUITY
2023-10-03,61.28,4937929.0,TTE FP EQUITY
2023-10-03,2.56,4316974.0,UKAB10BC INDEX
2023-10-03,4000.0,4316974.0,UKAB3YAC INDEX
2023-10-03,7470.16,490703371.0,UKX INDEX
2023-10-03,4053.5,3103455.0,ULVR LN EQUITY
2023-10-03,874.0,586318.0,UTG LN EQUITY
2023-10-03,228.81,5585744.0,V US EQUITY
2023-10-03,75.96,52278681.0,VOD LN EQUITY
2023-10-03,201.31,479510.0,VRSN US EQUITY
2023-10-03,209.05,4389145.0,VTI US EQUITY
2023-10-04,173.66,53020286.0,AAPL US EQUITY
2023-10-04,50.14,1044410.0,ABI BB EQUITY
2023-10-04,518.42,2027195.0,ADBE US EQUITY
2023-10-04,220.45,946601.0,ALV GR EQUITY
2023-10-04,127.0,44203870.0,AMZN US EQUITY
2023-10-04,612.4,1588165.0,AUTO LN EQUITY
2023-10-04,146.63,3476795.0,AXP US EQUITY
2023-10-04,186.73,7419796.0,BA US EQUITY
2023-10-04,2463.5,3256463.0,BATS LN EQUITY
2023-10-04,69.0,7915901.0,BND US EQUITY
2023-10-04,47.51,2322396.0,BNDX US EQUITY
2023-10-04,58.64,2668329.0,BNP FP EQUITY
2023-10-04,53.45,17008957.0,CSCO US EQUITY
2023-10-04,19.674,6254273.0,DTE GY EQUITY
2023-10-04,2687.0,806877.0,EXPN LN EQUITY
2023-10-04,422.4,3562559.0,EZJ LN EQUITY
2023-10-04,3.18,4316974.0,GDBR2 INDEX
2023-10-04,74.74,4707663.0,GILD US EQUITY
2023-10-04,135.24,26752295.0,GOOGL
2023-10-04,308.6,1872003.0,GS US EQUITY
2023-10-04,752.2,1028867.0,HL-LN EQUITY
2023-10-04,17195.84,1294655037.0,HSI INDEX
2023-10-04,141.07,2637779.0,IBM US EQUITY
